"Duration","Distance","Latitude","Longitude","AltitudeOriginal","AltitudeCorrected","HeartRate","Cadence","PowerCalculated",
"1","0.3549","43.683988","-79.300169","131","130","113","97","105",
"1","0.3585","43.683988","-79.300159","131","130","112","96","110",
"1","0.3605","43.683993","-79.300148","131","130","112","95","116",
"1","0.3626","43.683993","-79.300126","131","130","111","93","122",
"1","0.3646","43.683993","-79.300105","131","130","111","91","127",
"1","0.3666","43.683993","-79.300084","131","130","111","90","132",
"1","0.3686","43.683993","-79.300062","131","130","111","88","138",
"1","0.3709","43.683993","-79.300041","131","130","112","87","143",
"1","0.3731","43.683998","-79.300019","131","130","112","86","149",
"1","0.3752","43.683998","-79.299987","131","130","112","85","155",
"1","0.3773","43.683998","-79.299966","131","130","112","84","163",
"1","0.3792","43.683998","-79.299944","131","130","112","84","170",
"1","0.3806","43.684004","-79.299923","131","130","112","83","176",
"1","0.382","43.684004","-79.299901","131","130","113","83","180",
"1","0.3836","43.684004","-79.299869","131","130","113","82","185",
"1","0.3853","43.684009","-79.299847","131","130","114","82","190",
"1","0.3871","43.684014","-79.299826","131","130","114","82","180",
"1","0.3892","43.68402","-79.299805","131","130","115","83","175",
"1","0.3913","43.684025","-79.299783","131","130","116","83","177",
"1","0.3933","43.68403","-79.299762","131","130","116","84","178",
"1","0.3952","43.684041","-79.29974","131","130","117","84","180",
"1","0.3972","43.684047","-79.299719","131","130","117","85","182",
"1","0.3993","43.684057","-79.299697","131","130","118","85","183",
"1","0.4014","43.684063","-79.299676","130","130","118","84","182",
"1","0.4037","43.684073","-79.299654","130","130","119","84","182",
"1","0.4063","43.684084","-79.299633","130","130","119","84","182",
"1","0.4089","43.684095","-79.299601","130","130","120","83","182",
"1","0.4107","43.684106","-79.299579","130","130","121","83","182",
"1","0.4124","43.684111","-79.299558","130","130","122","83","184",
"1","0.4141","43.684116","-79.299536","130","130","123","83","185",
"1","0.4161","43.684122","-79.299515","130","130","124","83","187",
"1","0.418","43.684127","-79.299483","130","130","124","83","189",
"1","0.4204","43.684132","-79.299461","130","130","123","83","190",
"1","0.423","43.684143","-79.29944","130","130","123","83","189",
"1","0.4255","43.684148","-79.299418","130","130","124","83","188",
"1","0.4281","43.684154","-79.299386","130","130","124","83","189",
"1","0.4308","43.684165","-79.299365","130","130","124","83","190",
"1","0.4331","43.68417","-79.299332","130","130","125","83","190",
"1","0.4353","43.684175","-79.299311","130","130","125","83","192",
"1","0.4375","43.684181","-79.299279","130","130","124","84","193",
"1","0.4396","43.684191","-79.299257","130","130","124","84","192",
"1","0.4418","43.684202","-79.299236","130","130","123","84","191",
"1","0.4438","43.684207","-79.299214","130","130","123","85","189",
"1","0.4457","43.684218","-79.299182","130","130","122","84","190",
"1","0.4476","43.684229","-79.299161","130","130","121","83","191",
"1","0.4498","43.684234","-79.299139","130","130","121","82","192",
"1","0.452","43.684245","-79.299118","130","130","120","81","192",
"1","0.4541","43.684256","-79.299096","130","130","120","80","193",
"1","0.4561","43.684261","-79.299064","130","130","121","79","195",
"1","0.458","43.684272","-79.299043","130","130","121","78","197",
"1","0.4602","43.684277","-79.299021","130","130","122","78","197",
"1","0.4624","43.684283","-79.299","130","130","122","78","196",
"1","0.4646","43.684293","-79.298968","130","130","123","79","194",
"1","0.4671","43.684299","-79.298946","130","130","123","79","194",
"1","0.4695","43.684304","-79.298914","130","130","123","80","195",
"1","0.4717","43.684309","-79.298893","130","130","123","81","195",
"1","0.4738","43.68432","-79.298871","130","130","123","81","194",
"1","0.4759","43.684326","-79.298839","130","130","123","82","193",
"1","0.478","43.684336","-79.298818","130","130","123","83","192",
"1","0.4801","43.684342","-79.298796","130","130","123","83","193",
"1","0.4821","43.684352","-79.298764","130","130","124","84","193",
"1","0.4841","43.684358","-79.298742","130","130","124","84","192",
"1","0.4861","43.684363","-79.298721","130","130","125","85","192",
"1","0.4892","43.684368","-79.298689","130","130","126","86","191",
"1","0.4923","43.684374","-79.298667","130","130","126","86","191",
"1","0.4949","43.684379","-79.298646","130","130","127","85","191",
"1","0.4971","43.684385","-79.298614","130","130","128","84","192",
"1","0.4993","43.684385","-79.298592","130","130","128","84","192",
"1","0.5017","43.684385","-79.29856","130","130","129","83","192",
"1","0.5041","43.68439","-79.298539","130","130","130","83","191",
"1","0.5063","43.684395","-79.298506","130","130","130","82","190",
"1","0.5081","43.684395","-79.298485","130","130","131","82","189",
"1","0.5099","43.684395","-79.298453","130","130","131","82","188",
"1","0.5118","43.684395","-79.298431","130","130","131","83","187",
"1","0.5138","43.684401","-79.298399","130","130","131","83","187",
"1","0.5158","43.684401","-79.298378","130","130","131","83","186",
"1","0.5178","43.684401","-79.298345","130","130","131","84","187",
"1","0.5198","43.684401","-79.298324","130","130","131","84","188",
"1","0.5217","43.684406","-79.298303","130","130","131","84","189",
"1","0.5237","43.684406","-79.29827","130","130","130","84","185",
"1","0.5256","43.684411","-79.298249","130","130","130","84","182",
"1","0.528","43.684411","-79.298227","130","130","130","84","180",
"1","0.5303","43.684417","-79.298195","130","130","130","84","180",
"1","0.5325","43.684417","-79.298174","130","130","129","83","180",
"1","0.5347","43.684417","-79.298142","130","130","129","83","179",
"1","0.5369","43.684422","-79.29812","130","130","129","83","177",
"1","0.5387","43.684427","-79.298099","130","130","129","83","176",
"1","0.5405","43.684427","-79.298066","130","130","130","83","177",
"1","0.5424","43.684427","-79.298045","130","130","130","82","177",
"1","0.5443","43.684433","-79.298024","130","130","130","82","177",
"1","0.5463","43.684433","-79.297991","130","130","130","82","177",
"1","0.5485","43.684433","-79.29797","130","130","131","82","177",
"1","0.5508","43.684433","-79.297938","130","130","131","82","176",
"1","0.553","43.684438","-79.297916","130","130","131","82","175",
"1","0.555","43.684438","-79.297895","130","130","131","82","175",
"1","0.5571","43.684438","-79.297863","130","130","131","82","175",
"1","0.5593","43.684444","-79.297841","130","130","131","82","176",
"1","0.5615","43.684444","-79.29782","130","130","131","82","175",
"1","0.5637","43.684444","-79.297788","130","130","130","82","174",
"1","0.5656","43.684449","-79.297766","130","130","130","82","174",
"1","0.5676","43.684454","-79.297745","130","130","130","82","175",
"1","0.5695","43.68446","-79.297712","130","130","130","82","175",
"1","0.5714","43.684465","-79.297691","130","130","130","82","174",
"1","0.5733","43.68447","-79.29767","130","130","130","82","174",
"1","0.5753","43.684476","-79.297648","130","130","131","82","174",
"1","0.5773","43.684476","-79.297616","130","130","131","82","174",
"1","0.5792","43.684481","-79.297594","130","130","131","82","174",
"1","0.5809","43.684486","-79.297573","130","130","132","82","176",
"1","0.5826","43.684486","-79.297552","130","130","132","82","176",
"1","0.5846","43.684492","-79.297519","130","130","132","82","178",
"1","0.5866","43.684497","-79.297498","130","130","132","82","180",
"1","0.5886","43.684503","-79.297476","130","130","131","82","182",
"1","0.5907","43.684508","-79.297455","130","130","131","82","182",
"1","0.5928","43.684508","-79.297423","130","130","131","82","182",
"1","0.5951","43.684513","-79.297401","130","130","131","82","183",
"1","0.5975","43.684519","-79.29738","130","130","131","82","185",
"1","0.5996","43.684529","-79.297348","130","130","131","82","186",
"1","0.6013","43.684535","-79.297326","130","130","131","82","185",
"1","0.603","43.68454","-79.297305","130","130","131","82","184",
"1","0.6049","43.684551","-79.297283","130","130","131","82","183",
"1","0.6068","43.684556","-79.297262","130","130","131","82","182",
"1","0.6089","43.684562","-79.29723","130","130","131","82","182",
"1","0.6115","43.684572","-79.297208","130","130","132","83","183",
"1","0.614","43.684578","-79.297187","130","130","132","83","185",
"1","0.6167","43.684588","-79.297165","130","130","132","84","186",
"1","0.6194","43.684594","-79.297133","130","130","132","84","187",
"1","0.622","43.684604","-79.297112","130","130","132","85","187",
"1","0.6243","43.68461","-79.29709","130","130","132","85","186",
"1","0.6265","43.684621","-79.297069","130","130","132","84","186",
"1","0.6289","43.684626","-79.297037","130","130","132","84","185",
"1","0.6313","43.684637","-79.297015","130","130","132","84","184",
"1","0.6337","43.684642","-79.296994","130","130","132","83","182",
"1","0.6353","43.684653","-79.296972","130","130","132","83","181",
"1","0.6368","43.684663","-79.29694","130","130","132","83","181",
"1","0.6385","43.684674","-79.296929","130","130","132","82","182",
"1","0.6403","43.684685","-79.296908","130","130","132","82","184",
"1","0.6421","43.684696","-79.296886","130","130","132","82","185",
"1","0.6443","43.684706","-79.296865","130","130","132","82","185",
"1","0.6466","43.684717","-79.296843","130","130","132","82","183",
"1","0.6488","43.684722","-79.296822","130","130","132","82","181",
"1","0.6509","43.684733","-79.2968","130","130","133","82","176",
"1","0.653","43.684749","-79.296779","130","130","133","82","171",
"1","0.6548","43.68476","-79.296758","130","130","133","82","167",
"1","0.6567","43.684765","-79.296736","130","130","133","82","166",
"1","0.6585","43.684776","-79.296715","130","130","134","82","165",
"1","0.6605","43.684787","-79.296693","130","130","134","82","163",
